"Year","Event","DataCards","Deaths","Houses.Ruined","Affected","Monetary.LossUSD","Event_Severity","Event_factor"
"2002","HAIL",19,0,0,148,0,0,17
"2002","LANDSLIDE",12,20,126,1047,0,167,20
"2002","NUCLEAR ACCIDENTS",1,0,0,0,0,0,24
"2002","ROCKSLIDE",3,0,21,99,0,0,27
"2002","TRAFFIC ACCIDENT",4,55,0,18,175,1375,34
"2003","AVALANCHE",27,13,0,1099,0,48,3
"2003","AVIATION ACCIDENT",2,150,0,0,0,7500,4
"2003","DRAUGHT",1,0,0,604,0,0,6
"2003","EARTHQUAKE",9,185,29195,0,0,2056,8
"2003","FIRE",2,1,10,0,0,50,11
"2003","FLOOD",3,0,65,717,0,0,12
"2003","FOREST FIRE",49,0,0,0,1812078587,0,14
"2003","FROST",8,0,0,4780,0,0,15
"2003","HAIL",8,0,0,0,0,0,17
"2003","LANDSLIDE",21,0,315,755,0,0,20
"2003","MARITIME DISASTER",1,12,0,0,0,1200,21
"2003","MINING ACCIDENTS",1,10,0,0,0,1000,22
"2003","NUCLEAR ACCIDENTS",2,0,0,0,0,0,24
"2003","ROCKSLIDE",10,0,173,940,0,0,27
"2003","TRAFFIC ACCIDENT",7,120,0,39,682,1714,34
"2004","AVALANCHE",16,22,35,666,0,138,3
"2004","DRAUGHT",6,0,0,0,0,0,6
"2004","EARTHQUAKE",9,32,6440,0,0,356,8
"2004","FIRE",10,3,514,0,1812078587,30,11
"2004","FLOOD",9,7,194,998,0,78,12
"2004","FOG",2,0,0,0,0,0,13
"2004","FOREST FIRE",31,0,0,0,1812078587,0,14
"2004","FROST",34,0,0,0,0,0,15
"2004","HAIL",41,0,0,536,0,0,17
"2004","LANDSLIDE",19,1,747,563,0,5,20
"2004","MARITIME DISASTER",1,19,0,0,0,1900,21
"2004","MINING ACCIDENTS",1,19,0,0,0,1900,22
"2004","OTHER",1,92,0,0,0,9200,25
"2004","ROCKSLIDE",9,7,155,898,0,78,27
"2004","SNOW",5,0,0,0,0,0,29
"2004","STORM",33,0,0,0,0,0,30
"2004","THUNDER",1,0,0,0,0,0,32
"2004","TRAFFIC ACCIDENT",6,80,0,64,105,1333,34
"2004","TRAIN ACCIDENT",2,48,0,0,0,2400,35
"2005","AVALANCHE",10,7,0,250,0,70,3
"2005","EARTHQUAKE",9,2,6935,0,0,22,8
"2005","FIRE",10,5,261,0,0,50,11
"2005","FLOOD",3,0,39,302,0,0,12
"2005","FOG",6,0,0,0,0,0,13
"2005","FOREST FIRE",18,0,0,0,71031419,0,14
"2005","FROST",13,0,0,0,0,0,15
"2005","HAIL",47,0,0,422,0,0,17
"2005","LANDSLIDE",16,15,188,293,0,94,20
"2005","MARITIME DISASTER",1,0,0,11,0,0,21
"2005","MINING ACCIDENTS",1,18,0,0,0,1800,22
"2005","NUCLEAR ACCIDENTS",2,0,0,0,0,0,24
"2005","OTHER",1,6,0,0,0,600,25
"2005","ROCKSLIDE",12,0,138,773,0,0,27
"2005","STORM",14,0,0,0,0,0,30
"2005","THUNDER",5,0,0,0,0,0,32
"2005","TRAFFIC ACCIDENT",3,30,0,38,1050,1000,34
"2006","AVALANCHE",3,1,17,162,0,33,3
"2006","EARTHQUAKE",2,0,0,0,0,0,8
